pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
SL,2017-09-24,83.7,-2.3638,6.6324,Lucas Giolito,596144,608337,field_out,hit_into_play,,,,,12,"Cheslor Cuthbert grounds out, third baseman Yolmer Sanchez to first baseman Matt Davidson.  ",R,R,R,CWS,KC,X,5,ground_ball,0,0,2017,-0.2206,0.3667,0.0605,3.3693,null,null,null,2,7,Top,103.21,168.7,,,607345,,170924_201030,,,,,,,3.1265,1.2678,4,74.6,-37.886,82.471,2033,6.204,492423,608337,607345,571602,660162,570560,641313,547170,641553,542642,54.295,0.052,0.048,0,1,0,0,2,53,1
CH,2017-09-24,80.7,-2.3068,6.5492,Lucas Giolito,444876,608337,field_out,hit_into_play,,,,,2,Alcides Escobar pops out to shortstop Tim Anderson.  ,R,R,R,CWS,KC,X,6,popup,2,2,2017,-0.8368,1.1155,-0.0535,3.0273,null,null,null,1,7,Top,98.68,126.05,,,607345,,170924_201002,,,,,,,3.2271,1.3684,192,66.1,44.456,80.241,1620,6.453,492423,608337,607345,571602,660162,570560,641313,547170,641553,542642,54.0454,0.27,0.259,0,1,0,0,3,52,5
CH,2017-09-24,81.5,-2.2387,6.5331,Lucas Giolito,444876,608337,null,swinging_strike,,,,,5,null,R,R,R,CWS,KC,S,null,null,2,1,2017,-0.6695,1.1705,0.1358,2.5773,null,null,null,1,7,Top,null,null,,,607345,,170924_200930,,,,,,,3.2271,1.3684,null,null,null,81.113,1580,6.622,492423,608337,607345,571602,660162,570560,641313,547170,641553,542642,53.8769,0,0,null,null,null,null,null,52,4
SL,2017-09-24,84,-2.1242,6.6332,Lucas Giolito,444876,608337,null,ball,,,,,12,null,R,R,R,CWS,KC,B,null,null,1,1,2017,-0.2017,0.235,1.3132,2.6526,null,null,null,1,7,Top,null,null,,,607345,,170924_200911,,,,,,,3.5676,1.7318,null,null,null,83.041,2060,6.019,492423,608337,607345,571602,660162,570560,641313,547170,641553,542642,54.4793,0,0,null,null,null,null,null,52,3
FF,2017-09-24,93.6,-2.1032,6.6418,Lucas Giolito,444876,608337,null,ball,,,,,14,null,R,R,R,CWS,KC,B,null,null,0,1,2017,-1.205,1.201,0.7789,1.4044,null,null,null,1,7,Top,null,null,,,607345,,170924_200852,,,,,,,3.4995,1.7545,null,null,null,93.136,2202,6.506,492423,608337,607345,571602,660162,570560,641313,547170,641553,542642,53.9928,0,0,null,null,null,null,null,52,2
FF,2017-09-24,92.5,-2.1197,6.6396,Lucas Giolito,444876,608337,null,called_strike,,,,,4,null,R,R,R,CWS,KC,S,null,null,0,0,2017,-0.9308,1.7267,-0.3769,2.7571,null,null,null,1,7,Top,null,null,,,607345,,170924_200836,,,,,,,3.5449,1.7318,null,null,null,93.163,2133,7.104,492423,608337,607345,571602,660162,570560,641313,547170,641553,542642,53.395,0,0,null,null,null,null,null,52,1
FT,2017-09-24,93.3,-1.999,6.6366,Lucas Giolito,519058,608337,field_out,hit_into_play,,,,,8,"Mike Moustakas grounds out, pitcher Lucas Giolito to first baseman Matt Davidson.  ",R,L,R,CWS,KC,X,1,ground_ball,3,2,2017,-1.4094,1.4159,-0.173,1.3051,null,null,null,0,7,Top,127.57,182.94,,,607345,,170924_200752,,,,,,,3.2673,1.4187,null,82.9,-20.699,93.831,2048,6.722,492423,608337,607345,571602,660162,570560,641313,547170,641553,542642,53.7771,0.075,0.069,0,1,0,0,2,51,6
CH,2017-09-24,81.5,-2.2237,6.5698,Lucas Giolito,519058,608337,null,foul,,,,,4,null,R,L,R,CWS,KC,S,null,null,3,1,2017,-1.3033,1.1239,-0.5384,2.2024,null,null,null,0,7,Top,null,null,,,607345,,170924_200729,,,,,,,3.2673,1.4187,63,53.8,16.5043,82.626,1607,6.981,492423,608337,607345,571602,660162,570560,641313,547170,641553,542642,53.5181,0,0,null,null,null,null,1,51,5
FF,2017-09-24,91.9,-2.1572,6.6023,Lucas Giolito,519058,608337,null,called_strike,,,,,5,null,R,L,R,CWS,KC,S,null,null,3,0,2017,-0.9471,1.368,0.2057,2.5615,null,null,null,0,7,Top,null,null,,,607345,,170924_200711,,,,,,,3.5044,1.7139,null,null,null,92.691,2091,6.775,492423,608337,607345,571602,660162,570560,641313,547170,641553,542642,53.7239,0,0,null,null,null,null,null,51,4
FT,2017-09-24,91.6,-2.0369,6.7256,Lucas Giolito,519058,608337,null,ball,,,,,14,null,R,L,R,CWS,KC,B,null,null,2,0,2017,-1.3186,1.191,0.8875,2.5399,null,null,null,0,7,Top,null,null,,,607345,,170924_200654,,,,,,,3.4363,1.6685,null,null,null,92.277,2026,6.536,492423,608337,607345,571602,660162,570560,641313,547170,641553,542642,53.9628,0,0,null,null,null,null,null,51,3
CU,2017-09-24,74.4,-2.1464,6.7099,Lucas Giolito,519058,608337,null,ball,,,,,11,null,R,L,R,CWS,KC,B,null,null,1,0,2017,-0.3268,-1.3325,-1.1708,4.3194,null,null,null,0,7,Top,null,null,,,607345,,170924_200633,,,,,,,3.4817,1.6231,null,null,null,74.216,2370,6.687,492423,608337,607345,571602,660162,570560,641313,547170,641553,542642,53.8112,0,0,null,null,null,null,null,51,2
FF,2017-09-24,91.5,-2.1091,6.6841,Lucas Giolito,519058,608337,null,ball,,,,,12,null,R,L,R,CWS,KC,B,null,null,0,0,2017,-0.7312,1.4206,0.0375,3.9369,null,null,null,0,7,Top,null,null,,,607345,,170924_200617,,,,,,,3.459,1.6912,null,null,null,92.533,2111,6.97,492423,608337,607345,571602,660162,570560,641313,547170,641553,542642,53.5286,0,0,null,null,null,null,null,51,1
SL,2017-09-24,84.9,-2.2872,6.6341,Lucas Giolito,521692,608337,field_out,hit_into_play,,,,,6,Salvador Perez lines out to shortstop Tim Anderson.  ,R,R,R,CWS,KC,X,6,line_drive,0,1,2017,0.2208,0.3066,0.5622,2.1402,null,466320,null,2,6,Top,106.38,144.19,,,607345,,170924_194937,,,,,,,3.4181,1.4186,162,70.7,16.317,84.194,2094,5.993,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,54.5052,0.675,0.622,0,1,0,0,4,45,2
FF,2017-09-24,93.6,-2.1555,6.6347,Lucas Giolito,521692,608337,null,swinging_strike,,,,,6,null,R,R,R,CWS,KC,S,null,null,0,0,2017,-0.7389,1.3894,0.5453,2.0482,null,466320,null,2,6,Top,null,null,,,607345,,170924_194905,,,,,,,3.4097,1.4102,null,null,null,94.992,2167,6.851,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,53.6475,0,0,null,null,null,null,null,45,1
