"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FF","2017-09-27","94.5","-2.3873","5.7070","Reynaldo Lopez",472528,625643,"field_out","hit_into_play",,,,,"12","Luis Valbuena pops out to first baseman Jose Abreu.  ","R","L","R","CWS","LAA","X","3","popup",1,0,2017,"-1.0967","1.3116","0.8389","2.5867","null","592743.00","null",2,6,"Top","140.99","179.09",,,553882,,"170928_022901",,,,,,,"3.1570","1.4089","null","80.0","69.0000","94.0480","2134","6.3900",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.1085","0.000","0.001","0.00",1,0,0,3,49,"2"
"FF","2017-09-27","96.0","-2.6583","5.8021","Reynaldo Lopez",472528,625643,"null","ball",,,,,"13","null","R","L","R","CWS","LAA","B","null","null",0,0,2017,"-1.3034","1.2292","-1.2310","2.1463","null","592743.00","null",2,6,"Top","null","null",,,553882,,"170928_022825",,,,,,,"3.5281","1.6765","null","null","null","95.3660","2107","6.3930",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.1053","0.000","0.000","null","null","null","null","null",49,"1"
"FF","2017-09-27","95.0","-2.5658","5.8133","Reynaldo Lopez",592743,625643,"single","hit_into_play_score",,,,,"1","Andrelton Simmons singles on a ground ball to center fielder Adam Engel.   Justin Upton scores.  Albert Pujols out at 3rd on the throw, center fielder Adam Engel to first baseman Jose Abreu to third baseman Tyler Saladino.   Andrelton Simmons to 2nd on the throw.  ","R","R","R","CWS","LAA","X","null","ground_ball",0,1,2017,"-0.9875","1.4920","-0.6988","3.0597","null","457708.00","405395.00",1,6,"Top","123.75","97.47",,,553882,,"170928_022710",,,,,,,"3.3883","1.4592","50","93.7","0.2230","94.5090","1979","6.2950",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.2033","0.411","0.385","0.90",1,1,0,2,48,"2"
"CH","2017-09-27","84.0","-2.4514","6.1444","Reynaldo Lopez",592743,625643,"null","swinging_strike",,,,,"8","null","R","R","R","CWS","LAA","S","null","null",0,0,2017,"-1.2660","1.1063","0.2523","1.7193","null","457708.00","405395.00",1,6,"Top","null","null",,,553882,,"170928_022631",,,,,,,"3.3883","1.4592","null","null","null","83.5530","1489","6.3320",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.1667","0.000","0.000","null","null","null","null","null",48,"1"
"CH","2017-09-27","85.8","-2.3255","6.1248","Reynaldo Lopez",408252,625643,"field_out","hit_into_play",,,,,"9","Brandon Phillips lines out to center fielder Adam Engel.  ","R","R","R","CWS","LAA","X","8","line_drive",1,1,2017,"-1.1775","1.1990","0.7376","1.8919","null","457708.00","405395.00",0,6,"Top","123.06","89.88",,,553882,,"170928_022553",,,,,,,"3.1268","1.3385","269","79.6","19.8050","85.1970","1429","6.1370",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.3619","0.753","0.708","0.00",1,0,0,4,47,"3"
"FF","2017-09-27","93.3","-2.4772","5.8169","Reynaldo Lopez",408252,625643,"null","foul",,,,,"5","null","R","R","R","CWS","LAA","S","null","null",1,0,2017,"-0.8726","1.5098","0.1514","2.5179","null","457708.00","405395.00",0,6,"Top","null","null",,,553882,,"170928_022517",,,,,,,"3.1268","1.3385","187","71.1","51.5823","93.0390","1979","6.3600",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.1387","0.000","0.000","null","null","null","null",3,47,"2"
"SL","2017-09-27","83.4","-2.5616","5.9195","Reynaldo Lopez",408252,625643,"null","ball",,,,,"14","null","R","R","R","CWS","LAA","B","null","null",0,0,2017,"0.0785","0.7600","1.2819","2.0753","null","457708.00","405395.00",0,6,"Top","null","null",,,553882,,"170928_022434",,,,,,,"3.5379","1.5960","null","null","null","83.0040","1946","6.2680",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.2312","0.000","0.000","null","null","null","null","null",47,"1"
"FF","2017-09-27","94.0","-2.3189","5.8313","Reynaldo Lopez",405395,625643,"single","hit_into_play_no_out",,,,,"1","Albert Pujols singles on a line drive to center fielder Adam Engel.   Justin Upton to 2nd.  ","R","R","R","CWS","LAA","X","null","line_drive",0,0,2017,"-1.0195","1.4956","-0.2994","3.2770","null","null","457708.00",0,6,"Top","126.79","125.86",,,553882,,"170928_022252",,,,,,,"3.1871","1.3989","93","102.1","3.6820","93.5750","1924","6.1020",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.3968","0.575","0.539","0.90",1,1,0,4,46,"1"
"CH","2017-09-27","86.1","-2.5079","5.9389","Reynaldo Lopez",457708,625643,"walk","ball",,,,,"13","Justin Upton walks.  ","R","R","R","CWS","LAA","B","null","null",3,2,2017,"-1.3301","0.8648","-1.8632","2.6259","null","null","null",0,6,"Top","null","null",,,553882,,"170928_022206",,,,,,,"3.8530","1.6163","null","null","null","86.0620","1367","6.1890",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.3097","0.000","0.000","0.70",1,0,0,"null",45,"9"
"FF","2017-09-27","96.0","-2.3860","5.7809","Reynaldo Lopez",457708,625643,"null","foul",,,,,"12","null","R","R","R","CWS","LAA","S","null","null",3,2,2017,"-1.0379","1.2524","0.2965","3.5370","null","null","null",0,6,"Top","null","null",,,553882,,"170928_022143",,,,,,,"3.3783","1.4089","146","79.5","14.1090","95.3180","2065","6.1890",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.3096","0.000","0.000","null","null","null","null",4,45,"8"
